Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,Wavelength(nm),Psi,Delta,
201.047195,16.130568,-2.948924,201.047195,16.010666,-2.503047,201.047195,16.087647,-2.531568,201.047195,16.128272,-2.521920,201.047195,16.130595,-2.778073,201.047195,16.096797,-2.655761,201.047195,15.978445,-2.648731,201.047195,16.019181,-2.727731,
201.544479,16.182064,-2.789143,201.544479,16.038381,-2.532297,201.544479,16.102264,-2.516144,201.544479,16.075382,-2.658312,201.544479,16.104669,-2.763250,201.544479,16.132694,-2.709075,201.544479,16.047774,-2.755750,201.544479,16.059710,-2.928006,
202.041763,16.223060,-2.792420,202.041763,16.120979,-2.697244,202.041763,16.103144,-2.743986,202.041763,16.102845,-2.821145,202.041763,16.153849,-2.913658,202.041763,16.222378,-2.842810,202.041763,16.009080,-2.727667,202.041763,16.103784,-2.897696,
202.539078,16.237494,-3.081809,202.539078,16.114953,-2.698895,202.539078,16.108278,-2.672089,202.539078,16.181071,-2.744649,202.539078,16.218679,-2.996296,202.539078,16.229837,-2.632106,202.539078,16.034974,-2.940434,202.539078,16.178647,-2.829477,
203.036392,16.238666,-3.020091,203.036392,16.104246,-2.818776,203.036392,16.201965,-2.721580,203.036392,16.270548,-2.891109,203.036392,16.272602,-3.032940,203.036392,16.251212,-2.855141,203.036392,16.152024,-3.038166,203.036392,16.215087,-2.809260,
203.533722,16.305037,-2.908367,203.533722,16.098620,-2.916591,203.533722,16.238935,-2.780954,203.533722,16.248529,-3.115305,203.533722,16.285512,-2.904856,203.533722,16.272467,-2.918355,203.533722,16.138003,-3.170417,203.533722,16.200486,-2.686274,
204.031067,16.297610,-3.126247,204.031067,16.177393,-2.749248,204.031067,16.245060,-2.829843,204.031067,16.260578,-3.055253,204.031067,16.258511,-3.004773,204.031067,16.262412,-2.856968,204.031067,16.082750,-2.935892,204.031067,16.216323,-2.800062,
204.528427,16.323976,-3.259230,204.528427,16.207346,-2.784220,204.528427,16.296702,-2.860877,204.528427,16.305935,-2.993228,204.528427,16.283771,-2.860839,204.528427,16.316873,-2.899880,204.528427,16.194044,-2.925927,204.528427,16.279291,-3.002599,
205.025787,16.377075,-3.143742,205.025787,16.281120,-2.917258,205.025787,16.337252,-2.910311,205.025787,16.382835,-3.073386,205.025787,16.370138,-2.883117,205.025787,16.354917,-2.809000,205.025787,16.271850,-2.948543,205.025787,16.339749,-2.995324,
205.523163,16.406802,-3.087760,205.523163,16.315982,-2.866619,205.523163,16.378497,-2.707407,205.523163,16.370352,-3.159047,205.523163,16.450520,-2.812676,205.523163,16.441937,-2.870127,205.523163,16.297640,-3.034774,205.523163,16.370388,-2.925339,
